id,name,description,fullDescription,price_500g,price_1kg,image,in_stock,category,origin,color,taste,harvestSeason,benefits,pairing,shelfLife
wildflower,Wildflower Honey,Collected from diverse wildflowers - complex rich flavor with hints of herbs and flowers. Raw and unprocessed.,Our Wildflower Honey is a beautiful symphony of nectar collected from over 40 different wildflower species across the Himalayan foothills. Each jar captures the essence of spring meadows.,350,650,/photo1.jpg,true,Premium,Himalayan Foothills,Golden Amber,"Complex, floral, herbal",March - May,"Rich in antioxidants, Natural energy booster, Supports immune system, Soothes sore throat","Tea, toast, cheese, baked goods",24 months
acacia,Acacia Honey,Light, delicate and sweet with subtle floral aroma. Known for clarity and mild taste.,Harvested from pristine Acacia forests of Central India. Prized for exceptional clarity and delicate flavor. Light, buttery honey that never crystallizes.,450,850,/photo1.jpg,true,Premium,Central India Forests,Light Golden,"Delicate, buttery, vanilla",February - April,"Low glycemic index, Easy to digest, Good for cooking, Never crystallizes","Smoothies, marinades, glazing",36 months
linden,Linden Honey,Soothing honey with calming properties. Fresh, menthol-like aroma.,Also known as "Lime Honey". Harvested from fragrant linden tree blossoms. Known for calming and sedative properties.,400,750,/photo1.jpg,true,Organic,Northern Hills,Light Amber,"Fresh, minty, floral",May - June,"Promotes relaxation, Aids sleep, Soothes anxiety, Respiratory support","Warm milk, herbal tea, bedtime",24 months
multiflower,Multi-Flower Honey,Beautiful blend from multiple flower sources. Rich in enzymes and nutrients.,Perfect daily health companion from diverse floral sources. Raw, unprocessed honey retains all natural enzymes, propolis and pollen.,299,550,/photo1.jpg,true,Organic,Rural India,Amber,"Rich, fruity, balanced",Year-round,"High in enzymes, Natural immunity, Energy booster, Good for skin","Daily consumption, cooking, remedies",24 months
eucalyptus,Eucalyptus Honey,Distinct minty flavor with medicinal properties. Excellent for throat and respiratory health.,Sourced from vast Eucalyptus forests of Western Ghats. Refreshing essence with minty-menthol flavor for respiratory wellness.,380,720,/photo1.jpg,true,Ayurvedic,Western Ghats,Dark Amber,"Minty, medicinal, menthol",October - December,"Throat relief, Respiratory health, Antimicrobial, Clears sinuses","Warm water, ginger tea, throat remedies",24 months
neem,Neem Honey,Powerful Ayurvedic honey with bitter-sweet taste. Detoxifying and immune-boosting properties.,Rare Ayurvedic treasure from Neem trees. Unique bitter-sweet profile with powerful health benefits unmatched.,420,800,/photo1.jpg,true,Ayurvedic,Rural Punjab & UP,Dark Brown,"Bitter-sweet, earthy",February - March,"Detoxifying, Blood purification, Immune booster, Diabetes friendly","Warm water, Ayurvedic remedies",24 months
mustard,Mustard Honey,Golden-hued honey from mustard flowers. Rich in antioxidants with unique pungent-sweet flavor.,Harvested during mustard bloom season in Punjab and Haryana. Beautiful golden color with distinctive taste.,320,600,/photo1.jpg,true,Organic,Punjab Plains,Golden Yellow,"Pungent-sweet, tangy",February - March,"High in antioxidants, Heart health, Energy rich, Good for skin","Parathas, desserts, marinades",24 months
tulsi,Tulsi Honey,Infused with Tulsi leaves - divine herbal aroma. Known for stress relief and immune boosting.,Sacred blend of raw honey infused with Tulsi (Holy Basil) leaves. Adaptogen that helps body adapt to stress while boosting immunity.,450,850,/photo1.jpg,true,Ayurvedic,Sacred Groves of India,Amber with Green tint,"Herbal, aromatic, soothing",Year-round,"Stress relief, Immune boosting, Respiratory health, Mental clarity","Morning tea, stress relief drinks",18 months
coffee,Coffee Honey,Harvested from coffee plantations - rich caramel-like flavor with subtle coffee notes. A unique delicacy.,Produced by bees that pollinate coffee plantations in misty hills of Coorg and Chikkamagaluru. Rich caramel-like with coffee notes.,350,650,/photo1.jpg,true,Premium,Coorg & Chikkamagaluru,Dark Amber,"Caramel, coffee, rich",November - January,"Antioxidants, Natural energy, Mood enhancer, Prebiotic","Coffee, desserts, pancakes",24 months
ajwain,Ajwain Honey,Sourced from Ajwain flowers - distinct thymol flavor. Excellent for digestion and digestive health.,Harvested from Ajwain (Carom) flowers in Gujarat and Rajasthan. Distinctive thymol flavor that aids digestion.,400,750,/photo1.jpg,true,Ayurvedic,Gujarat & Rajasthan,Amber,"Thymol, medicinal, pungent",October - November,"Digestive aid, Gastric relief, Antimicrobial, Metabolism boost","After meals, digestive tonic",24 months
